NAME,median_household_income,rent_burden_total_households,B25070_007E,B25070_008E,B25070_009E,B25070_010E,state,county,tract,GEOID,housing_cost_burden_ratio
Census Tract 2215.03; St. Louis County; Missouri,111593,595,59,0,33,133,29,189,221503,29189221503,0.37815126050420167
Census Tract 2215.06; St. Louis County; Missouri,150938,269,13,37,7,42,29,189,221506,29189221506,0.3680297397769517
Census Tract 2216.21; St. Louis County; Missouri,180417,116,0,0,12,0,29,189,221621,29189221621,0.10344827586206896
Census Tract 2216.24; St. Louis County; Missouri,122500,429,27,20,78,107,29,189,221624,29189221624,0.5407925407925408
Census Tract 2216.25; St. Louis County; Missouri,117222,625,12,133,77,115,29,189,221625,29189221625,0.5392
Census Tract 2216.26; St. Louis County; Missouri,183355,37,0,0,0,0,29,189,221626,29189221626,0.0
Census Tract 2216.27; St. Louis County; Missouri,250001,0,0,0,0,0,29,189,221627,29189221627,
Census Tract 2216.29; St. Louis County; Missouri,212614,35,0,0,0,0,29,189,221629,29189221629,0.0
Census Tract 2216.30; St. Louis County; Missouri,101383,626,10,24,30,241,29,189,221630,29189221630,0.48722044728434505
Census Tract 2216.31; St. Louis County; Missouri,104973,1818,51,57,43,247,29,189,221631,29189221631,0.21892189218921893
Census Tract 2218; St. Louis County; Missouri,37773,529,4,33,70,180,29,189,221800,29189221800,0.5425330812854442
Census Tract 2219; St. Louis County; Missouri,110804,236,7,0,0,94,29,189,221900,29189221900,0.4279661016949153
Census Tract 2220; St. Louis County; Missouri,84226,527,60,0,31,177,29,189,222000,29189222000,0.50853889943074
Census Tract 2221; St. Louis County; Missouri,148056,68,15,12,0,2,29,189,222100,29189222100,0.4264705882352941
Census Tract 1011; St. Louis city; Missouri,76236,83,9,12,0,0,29,510,101100,29510101100,0.25301204819277107
Census Tract 1012; St. Louis city; Missouri,89271,167,0,0,0,30,29,510,101200,29510101200,0.17964071856287425
Census Tract 1013; St. Louis city; Missouri,73996,909,36,12,123,36,29,510,101300,29510101300,0.22772277227722773
Census Tract 1014; St. Louis city; Missouri,54316,559,9,38,0,127,29,510,101400,29510101400,0.3112701252236136
Census Tract 1015; St. Louis city; Missouri,41857,919,146,0,147,219,29,510,101500,29510101500,0.5571273122959739
Census Tract 1018; St. Louis city; Missouri,43988,692,11,27,0,197,29,510,101800,29510101800,0.33959537572254334
Census Tract 1021; St. Louis city; Missouri,56667,896,19,80,54,128,29,510,102100,29510102100,0.31361607142857145
Census Tract 1022; St. Louis city; Missouri,94216,514,37,48,36,71,29,510,102200,29510102200,0.3735408560311284
Census Tract 1023; St. Louis city; Missouri,61504,377,0,0,106,32,29,510,102300,29510102300,0.3660477453580902
Census Tract 1024; St. Louis city; Missouri,56102,509,10,64,0,86,29,510,102400,29510102400,0.3143418467583497
Census Tract 1025; St. Louis city; Missouri,71964,209,13,9,0,27,29,510,102500,29510102500,0.23444976076555024
Census Tract 1031; St. Louis city; Missouri,57591,1326,85,61,114,200,29,510,103100,29510103100,0.3469079939668175
Census Tract 1034; St. Louis city; Missouri,73667,177,0,10,9,27,29,510,103400,29510103400,0.2598870056497175
Census Tract 1036; St. Louis city; Missouri,95625,83,9,0,5,20,29,510,103600,29510103600,0.40963855421686746
Census Tract 1037; St. Louis city; Missouri,73302,348,24,23,0,38,29,510,103700,29510103700,0.2442528735632184
Census Tract 1038; St. Louis city; Missouri,80184,374,0,0,22,22,29,510,103800,29510103800,0.11764705882352941
Census Tract 1042; St. Louis city; Missouri,73141,943,38,62,10,84,29,510,104200,29510104200,0.20572640509013787
Census Tract 1045; St. Louis city; Missouri,79737,1041,22,51,26,129,29,510,104500,29510104500,0.21902017291066284
Census Tract 1051.98; St. Louis city; Missouri,78715,930,87,20,57,277,29,510,105198,29510105198,0.47419354838709676
Census Tract 1052; St. Louis city; Missouri,45933,967,38,14,49,395,29,510,105200,29510105200,0.5129265770423992
Census Tract 1053; St. Louis city; Missouri,22500,767,333,0,166,37,29,510,105300,29510105300,0.6988265971316818
Census Tract 1054; St. Louis city; Missouri,-666666666,649,62,0,20,271,29,510,105400,29510105400,0.5439137134052389
Census Tract 1055; St. Louis city; Missouri,66359,636,0,130,0,151,29,510,105500,29510105500,0.4418238993710692
Census Tract 1061; St. Louis city; Missouri,28333,349,24,7,57,123,29,510,106100,29510106100,0.6045845272206304
Census Tract 1062; St. Louis city; Missouri,23961,446,0,0,69,139,29,510,106200,29510106200,0.4663677130044843
Census Tract 1063; St. Louis city; Missouri,41742,324,26,0,12,48,29,510,106300,29510106300,0.2654320987654321
Census Tract 1064; St. Louis city; Missouri,52765,503,0,66,0,183,29,510,106400,29510106400,0.49502982107355864
Census Tract 1065; St. Louis city; Missouri,39821,573,4,36,75,77,29,510,106500,29510106500,0.33507853403141363
Census Tract 1066; St. Louis city; Missouri,38375,280,9,6,12,102,29,510,106600,29510106600,0.4607142857142857
Census Tract 1067; St. Louis city; Missouri,51618,331,50,30,0,88,29,510,106700,29510106700,0.5075528700906344
Census Tract 1072; St. Louis city; Missouri,14719,211,22,0,5,138,29,510,107200,29510107200,0.7819905213270142
Census Tract 1073; St. Louis city; Missouri,41844,903,43,109,68,308,29,510,107300,29510107300,0.584717607973422
Census Tract 1074; St. Louis city; Missouri,38616,421,0,75,45,110,29,510,107400,29510107400,0.5463182897862233
Census Tract 1075; St. Louis city; Missouri,26875,221,0,0,0,55,29,510,107500,29510107500,0.248868778280543
Census Tract 1076; St. Louis city; Missouri,42837,534,52,5,12,152,29,510,107600,29510107600,0.41385767790262173
Census Tract 1081; St. Louis city; Missouri,34901,426,0,0,0,240,29,510,108100,29510108100,0.5633802816901409
Census Tract 1082; St. Louis city; Missouri,56656,282,39,0,59,0,29,510,108200,29510108200,0.3475177304964539
Census Tract 1083; St. Louis city; Missouri,42123,371,37,32,7,80,29,510,108300,29510108300,0.42048517520215634
Census Tract 1096; St. Louis city; Missouri,31250,642,53,0,35,284,29,510,109600,29510109600,0.5794392523364486
Census Tract 1097; St. Louis city; Missouri,39881,290,24,46,40,91,29,510,109700,29510109700,0.6931034482758621
Census Tract 1101; St. Louis city; Missouri,14984,661,41,0,19,425,29,510,110100,29510110100,0.7337367624810892
Census Tract 1102; St. Louis city; Missouri,22581,665,34,15,15,346,29,510,110200,29510110200,0.6165413533834586
Census Tract 1103; St. Louis city; Missouri,29028,432,21,0,34,166,29,510,110300,29510110300,0.5115740740740741
Census Tract 1104; St. Louis city; Missouri,53075,639,0,0,0,171,29,510,110400,29510110400,0.2676056338028169
Census Tract 1105; St. Louis city; Missouri,21991,181,32,12,29,56,29,510,110500,29510110500,0.712707182320442
Census Tract 1111; St. Louis city; Missouri,18423,659,200,0,0,58,29,510,111100,29510111100,0.3915022761760243
